word,Field Text,Freq,Posting,Compress Posting
145,milani.author,1,[47],[47]
223,minidicionario.title,3,"[79, 80, 81]","[79, 1, 1]"
224,miseráveis.title,1,[51],[51]
225,mito.title,2,"[6, 39]","[6, 33]"
226,mochileiro.title,1,[14],[14]
48,moderna.publishing,1,[51],[51]
146,molina.author,1,[75],[75]
147,monteiro.author,1,[1],[1]
148,montenegro.author,1,[69],[69]
227,mora.title,1,[25],[25]
149,moreira.author,1,[46],[46]
150,moyes.author,1,[55],[55]
228,moyes.title,1,[55],[55]
229,mozart.title,1,[33],[33]
230,mulher.title,1,[38],[38]
231,mundo.title,3,"[19, 67, 89]","[19, 48, 22]"
151,mônica.author,1,[31],[31]
49,nanquim.publishing,1,[6],[6]
152,naomi.author,1,[18],[18]
153,napoleon.author,3,"[59, 62, 70]","[59, 3, 8]"
154,neil.author,2,"[5, 95]","[5, 90]"
155,neli.author,1,[35],[35]
156,neto.author,3,"[67, 73, 92]","[67, 6, 19]"
232,neto.title,3,"[67, 73, 92]","[67, 6, 19]"
233,netoland.title,1,[73],[73]
234,nietzsche.title,1,[37],[37]
50,nobilis.publishing,1,[37],[37]
51,nova.publishing,2,"[1, 73]","[1, 72]"
235,novo.title,1,[19],[19]
52,objetiva.publishing,2,"[27, 61]","[27, 34]"
236,obras.title,1,[4],[4]
237,omens.title,1,[5],[5]
238,once.title,1,[50],[50]
157,otomo.author,1,[97],[97]
239,outras.title,1,[72],[72]
240,pacientes.title,1,[48],[48]
241,paixão.title,1,[91],[91]
242,palavras.title,1,[15],[15]
243,panelinha.title,1,[52],[52]
53,panini.publishing,1,[95],[95]
158,papp.author,1,[22],[22]
244,passos.title,1,[82],[82]
159,patricia.author,1,[75],[75]
160,paulo.author,2,"[19, 23]","[19, 4]"
161,paulsen.author,1,[8],[8]
245,país.title,1,[9],[9]
54,pearson.publishing,1,[7],[7]
246,pedro.title,1,[19],[19]
55,peirópolis.publishing,1,[58],[58]
247,pensa.title,2,"[62, 70]","[62, 8]"
56,pensamento.publishing,1,[60],[60]
248,pequena.title,1,[53],[53]
249,pequeno.title,1,[68],[68]
250,perfeito.title,1,[44],[44]
251,performance.title,1,[23],[23]
252,pessoa.title,2,"[13, 58]","[13, 45]"
162,philotheus.author,1,[88],[88]
253,picapau.title,1,[1],[1]
163,pierre.author,1,[41],[41]
57,pipoca.publishing,1,[6],[6]
58,pixel.publishing,3,"[67, 73, 92]","[67, 6, 19]"
254,planet.title,1,[21],[21]
59,planeta.publishing,1,[50],[50]
255,podem.title,1,[56],[56]
256,poder.title,2,"[23, 61]","[23, 38]"
257,políticas.title,1,[35],[35]
164,ponte.author,1,[33],[33]
258,portugues.title,3,"[79, 80, 81]","[79, 1, 1]"
259,portuguesa.title,1,[77],[77]
4,português.language,101,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
260,possessividade.title,1,[42],[42]
261,pouco.title,1,[23],[23]
165,pratchett.author,1,[17],[17]
262,preparação.title,1,[44],[44]
166,price.author,1,[49],[49]
263,principe.title,1,[68],[68]
60,principis.publishing,1,[66],[66]
264,processos.title,1,[71],[71]
167,protasio.author,1,[48],[48]
265,prólogo.title,1,[69],[69]
266,psicólogo.title,1,[57],[57]
267,quadrinhos.title,1,[58],[58]
268,qualquer.title,1,[24],[24]
269,questões.title,1,[44],[44]
168,quinn.author,1,[93],[93]
169,quino.author,1,[53],[53]
270,quino.title,1,[53],[53]
170,rachael.author,1,[82],[82]
171,rachlin.author,1,[30],[30]
271,rainha.title,1,[0],[0]
172,ramos.author,2,"[26, 36]","[26, 10]"
272,rebelde.title,1,[16],[16]
273,receitas.title,1,[52],[52]
61,record.publishing,4,"[26, 72, 83, 85]","[26, 46, 11, 2]"
274,redes.title,1,[7],[7]
275,relacionamento.title,1,[42],[42]
276,relações.title,1,[36],[36]
277,resultados.title,1,[23],[23]
278,revelado.title,1,[19],[19]
279,revisão.title,1,[44],[44]
280,revolucionou.title,1,[89],[89]
173,rezzutti.author,1,[19],[19]
174,ribeiro.author,3,"[24, 27, 44]","[24, 3, 17]"
175,rita.author,2,"[25, 52]","[25, 27]"
281,rita.title,1,[52],[52]
176,robert.author,1,[42],[42]
62,rocco.publishing,1,[3],[3]
177,roth.author,1,[98],[98]
178,rudnick.author,1,[96],[96]
179,ruit.author,1,[2],[2]
180,saint.author,1,[68],[68]
63,salamandra.publishing,1,[22],[22]
181,salvador.author,1,[53],[53]
282,salvador.title,1,[53],[53]
283,salve.title,1,[42],[42]
182,samantha.author,1,[20],[20]
284,sandman.title,1,[95],[95]
183,saraiva.author,1,[11],[11]
64,saraiva.publishing,1,[47],[47]
184,sassaki.author,1,[18],[18]
185,sato.author,1,[20],[20]
285,saudavel.title,1,[25],[25]
286,saxônicas.title,1,[85],[85]
186,scarrow.author,1,[3],[3]
187,schlee.author,1,[77],[77]
188,schrupp.author,1,[40],[40]
287,schubert.title,1,[30],[30]
288,secas.title,1,[26],[26]
65,seguinte.publishing,1,[54],[54]
289,segundo.title,1,[67],[67]
290,seleção.title,1,[54],[54]
66,senac.publishing,2,"[25, 52]","[25, 27]"
291,sentido.title,1,[57],[57]
292,sevenwaters.title,1,[87],[87]
189,shirley.author,1,[49],[49]
190,sigmund.author,1,[4],[4]
293,silenciosa.title,1,[41],[41]
191,silva.author,1,[36],[36]
294,sobotta.title,1,[8],[8]
295,sociedade.title,1,[63],[63]
296,solidão.title,1,[29],[29]
297,sonhos.title,1,[4],[4]
298,sopa.title,1,[53],[53]
192,sophie.author,1,[91],[91]
299,sozinho.title,1,[25],[25]
300,star.title,1,[16],[16]
193,stendhal.author,1,[33],[33]
194,stephen.author,1,[12],[12]
301,steve.title,1,[10],[10]
67,summus.publishing,1,[64],[64]
302,supere.title,1,[42],[42]
195,susan.author,1,[30],[30]
196,susana.author,1,[58],[58]
303,susana.title,1,[58],[58]
304,século.title,1,[89],[89]
305,série.title,1,[14],[14]
306,sítio.title,1,[1],[1]
307,tempo.title,1,[23],[23]
308,terapia.title,1,[64],[64]
309,territoriais.title,1,[35],[35]
197,terry.author,1,[17],[17]
310,texto.title,1,[44],[44]
311,textual.title,1,[44],[44]
198,thomass.author,1,[37],[37]
312,time.title,1,[50],[50]
68,todavia.publishing,2,"[24, 90]","[24, 66]"
199,toro.author,1,[94],[94]
200,tres.author,1,[60],[60]
201,ubaldo.author,1,[27],[27]
313,ultimo.title,1,[19],[19]
69,universidades.publishing,1,[7],[7]
314,universo.title,1,[34],[34]
315,upon.title,1,[50],[50]
316,uruguai.title,1,[21],[21]
317,usar.title,1,[49],[49]
318,vade.title,1,[11],[11]
319,vamos.title,1,[53],[53]
202,ventura.author,1,[58],[58]
320,ventura.title,1,[58],[58]
321,verbal.title,1,[41],[41]
203,veronica.author,1,[98],[98]
204,victor.author,1,[51],[51]
322,vida.title,2,"[26, 33]","[26, 7]"
205,vieira.author,1,[23],[23]
206,viktor.author,1,[57],[57]
